epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.6789956310386942,0.5819008290918404,0.44880174291938996,0.007900287631831256,0.015527248059093992,0.44880174291938996,0.007900287631831256,0.015527248059093992,0.375059553801346,0.5004751554907776,0.5264665242444565,0.4350424840121955,62478,0.6774858051883629,0.5826851051570152,0.0,0.0,0.0,0.0,0.0,0.0,0.36816237371438976,0.5,0.6124574119341735,0.5159402193448137,6942
2,0.6770184795054115,0.582653093889049,0.0,0.0,0.0,0.0,0.0,0.0,0.3681495939563718,0.5,0.5621759366866,0.4712304852950393,62478,0.6760605205654308,0.5826851051570152,0.0,0.0,0.0,0.0,0.0,0.0,0.36816237371438976,0.5,0.6160003549983296,0.5201114436590781,6942
3,0.6756113520306316,0.5826690995230321,1.0,3.835091083413231e-05,7.669888019634913e-05,1.0,3.835091083413231e-05,7.669888019634913e-05,0.36819166659220176,0.5000191754554171,0.5846264943606025,0.4903131155976613,62478,0.674262824507757,0.5826851051570152,0.0,0.0,0.0,0.0,0.0,0.0,0.36816237371438976,0.5,0.6182487488655628,0.5233239982072285,6942
4,0.6742066623302996,0.5827811389609142,0.75,0.00046021093000958775,0.0009198574220995745,0.75,0.00046021093000958775,0.0009198574220995745,0.3686286436253268,0.5001751649381252,0.5909123417045823,0.49757655844095683,62478,0.6730567983439387,0.5826851051570152,0.0,0.0,0.0,0.0,0.0,0.0,0.36816237371438976,0.5,0.6199194597539844,0.5258466764855845,6942
5,0.673060024474196,0.5828291558628638,0.6,0.0012655800575263664,0.0025258323765786454,0.6,0.0012655800575263664,0.0025258323765786454,0.3693947843201575,0.5003306171309251,0.5978100806069185,0.5046976656408753,62478,0.6719667123326374,0.5836934600979545,0.6842105263157895,0.0044874007594062825,0.008916323731138546,0.6842105263157895,0.0044874007594062825,0.008916323731138546,0.3727112617926298,0.5015020440138194,0.6211065707545378,0.5275179336867564,6942
6,0.6719978841174835,0.5833253305163417,0.6329113924050633,0.003835091083413231,0.007623985056989288,0.6329113924050633,0.003835091083413231,0.007623985056989288,0.37196328452731964,0.5011209079019516,0.6026572825999269,0.5089211871413439,62478,0.6702989918187591,0.583549409392106,0.7142857142857143,0.0034518467380048328,0.006870491240123669,0.7142857142857143,0.0034518467380048328,0.006870491240123669,0.3717028114634957,0.5012314857917466,0.6225094115091994,0.5295795543175902,6942
7,0.6709754441404866,0.5842056403854157,0.659016393442623,0.007708533077660594,0.015238817285822593,0.659016393442623,0.007708533077660594,0.015238817285822593,0.3758530557781166,0.5024258128399594,0.6054717325063212,0.5117624378766994,62478,0.6692119304297878,0.5851339671564391,0.7297297297297297,0.009319986192613048,0.018404907975460124,0.7297297297297297,0.009319986192613048,0.018404907975460124,0.37769560467266156,0.5034238991531669,0.6235098923783309,0.531213925273072,6942
8,0.6700165672863051,0.5852139953263549,0.6538461538461539,0.013039309683604986,0.025568715924045873,0.6538461538461539,0.013039309683604986,0.025568715924045873,0.3810502356981175,0.5040473311322181,0.6069898314460981,0.5127944728737821,62478,0.6683247975985759,0.5864304235090751,0.6326530612244898,0.021401449775629963,0.041402337228714524,0.6326530612244898,0.021401449775629963,0.041402337228714524,0.3888708811683108,0.5062507866925121,0.6244699239185671,0.5328627905245947,6942
9,0.6692265523178728,0.5862383559012773,0.6386138613861386,0.019789069990412272,0.03838857270393929,0.6386138613861386,0.019789069990412272,0.03838857270393929,0.38739960279992164,0.5058838765329915,0.6097169469849464,0.5152546798730926,62478,0.6672962927158886,0.5859982713915298,0.6716417910447762,0.015533310321021747,0.030364372469635626,0.6716417910447762,0.015533310321021747,0.030364372469635626,0.38358877964141125,0.5050472484856036,0.6253963756889294,0.5344261527225398,6942
10,0.66841595066758,0.5874707897179807,0.6349775784753363,0.027152444870565676,0.05207796984185362,0.6349775784753363,0.027152444870565676,0.05207796984185362,0.3942242435998131,0.5079860238252782,0.61015604716236,0.5158267928995437,62478,0.6666547413931495,0.592336502448862,0.6437768240343348,0.05177770107007249,0.09584664536741214,0.6437768240343348,0.05177770107007249,0.09584664536741214,0.416344375315285,0.5156292708069768,0.6261165700163802,0.53572079605481,6942
11,0.6676760437703094,0.5891033643842633,0.6300839251129761,0.037430488974113135,0.070663191427744,0.6300839251129761,0.037430488974113135,0.070663191427744,0.40345307683005166,0.5108450140115463,0.6112564395446531,0.5168407776967666,62478,0.6656757996186026,0.5891673869201959,0.6744186046511628,0.030031066620642043,0.05750165234633179,0.6744186046511628,0.030031066620642043,0.05750165234633179,0.3974190892050318,0.5098239387491343,0.6268438045751263,0.5370504860467777,6942
