dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,head_learning_rate,representation_learning_rate,encoder_learning_rate,esm_learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v27,esm2,fine_tuned,True,False,,linear,42,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.1,failed,Code/results/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_42,"Refusing to reuse Code/results/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_42: its saved configuration does not match the requested code, data, checkpoint, preprocessing, or hyperparameters. Use --overwrite to archive it and start a new run.",,,,,,,,,,,,,
solubility,v27,esm2,fine_tuned,True,False,,linear,43,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_43,,0.543557136058211,0.7098549274637319,0.8211009174311926,0.537,0.6493349455864571,0.8211009174311926,0.537,0.6493349455864571,0.7009473362744572,0.7099414414414414,0.8354874874874876,0.8198544887376146,1999.0
solubility,v27,esm2,fine_tuned,True,False,,linear,44,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/esm2/seed_44,,0.5187833432915092,0.7418709354677339,0.8002481389578163,0.645,0.7142857142857143,0.8002481389578163,0.645,0.7142857142857143,0.7394421272158498,0.7419194194194194,0.8384064064064064,0.8277131749771741,1999.0
solubility,v27,esm2,fine_tuned,True,False,,mlp,42,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,0.1,0.0,0.1,failed,Code/results/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_42,"Refusing to reuse Code/results/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_42: its saved configuration does not match the requested code, data, checkpoint, preprocessing, or hyperparameters. Use --overwrite to archive it and start a new run.",,,,,,,,,,,,,
solubility,v27,esm2,fine_tuned,True,False,,mlp,43,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,0.1,0.0,0.1,complete,Code/results/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_43,,0.5434705801103161,0.7058529264632316,0.8179012345679012,0.53,0.6432038834951457,0.8179012345679012,0.53,0.6432038834951457,0.6964955587688495,0.705940940940941,0.8374044044044043,0.8247100179405975,1999.0
solubility,v27,esm2,fine_tuned,True,False,,mlp,44,end_to_end,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,0.1,0.0,0.1,complete,Code/results/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/mlp/esm2/seed_44,,0.5235458948333124,0.7373686843421711,0.7878787878787878,0.65,0.7123287671232876,0.7878787878787878,0.65,0.7123287671232876,0.7353636472523939,0.7374124124124124,0.8327377377377376,0.8254730761998597,1999.0
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,42,end_to_end,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.0,failed,Code/results/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_42,"Refusing to reuse Code/results/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_42: its saved configuration does not match the requested code, data, checkpoint, preprocessing, or hyperparameters. Use --overwrite to archive it and start a new run.",,,,,,,,,,,,,
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,43,end_to_end,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_43,,0.5129770986910998,0.7103551775887944,0.757020757020757,0.62,0.6816932380428807,0.757020757020757,0.62,0.6816932380428807,0.7079875093380994,0.7104004004004004,0.8167487487487488,0.8146538048853537,1999.0
solubility,v27,random_autoencoder,from_scratch,False,True,,linear,44,end_to_end,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/linear/random_autoencoder/seed_44,,0.5256897748679504,0.7163581790895448,0.7808041504539559,0.602,0.6798418972332015,0.7808041504539559,0.602,0.6798418972332015,0.7126196464163314,0.7164154154154154,0.8175045045045044,0.8149022133263303,1999.0
solubility,v27,random_autoencoder,from_scratch,False,True,,mlp,42,end_to_end,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.1,0.0,0.0,failed,Code/results/classifier/solubility/v27/unfrozen/final/mlp/random_autoencoder/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v27/unfrozen/final/mlp/random_autoencoder/seed_42,"Refusing to reuse Code/results/classifier/solubility/v27/unfrozen/final/mlp/random_autoencoder/seed_42: its saved configuration does not match the requested code, data, checkpoint, preprocessing, or hyperparameters. Use --overwrite to archive it and start a new run.",,,,,,,,,,,,,
