epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.5690947538454004,0.681711962610839,0.6674836750787663,0.671780234304437,0.6657084919381098,0.4967331194795222,0.7445980985306828,0.7370124344561798,0.7373983634051418,0.7366579296685161
2,0.5146356603705471,0.7305771631614328,0.7208772198638725,0.7230297591562201,0.7194201498833409,0.47929933687783605,0.7585710169979832,0.750719743991992,0.7519507094220628,0.7497256656538689
3,0.49705384586974694,0.7446781267005986,0.7342050083872513,0.7383216061971636,0.7318635413215051,0.47571483103360995,0.7620282339383463,0.7464254253298097,0.7635056011978448,0.7412792654948024
4,0.4863538338913655,0.7513204648036109,0.7412307821916133,0.7452737068500549,0.7388692986725858,0.4640042265782708,0.7641889945260731,0.7531975307968991,0.7601031103718158,0.749795086601245
5,0.4782252716270207,0.7575146451550946,0.7468111356618325,0.7524558900438317,0.7438529349026659,0.4583129337581072,0.7656295015845578,0.7547986078014605,0.761550593468965,0.751423044085075
6,0.4707541119808119,0.7632446621210666,0.7527532625973972,0.7585912887018842,0.7496786461158194,0.45984393619172587,0.7672140593488909,0.756223558568206,0.7634894460599683,0.7526847815373561
7,0.46368725824142387,0.7658375748263389,0.7561353785523621,0.7607599243444214,0.7534542297081339,0.4559068908477159,0.7690867185249207,0.7576983874111978,0.7660491651969219,0.7538508571801612
8,0.45829948452080715,0.7710874227728161,0.7612633336603266,0.7666267662533923,0.7582748916867003,0.4538061524728476,0.7706712762892538,0.7569046501427777,0.771144992488809,0.7518797204217482
9,0.4512717844811048,0.7739844425237684,0.7641194755240284,0.7698694326458271,0.7609731231521935,0.45268842787374547,0.7708153269951022,0.7606148527646754,0.7666859122401848,0.7573914535005524
10,0.4488169499018281,0.7760331636736131,0.7665960160951273,0.7716985666907878,0.7636615153645556,0.45275550194874337,0.773552290406223,0.759923695290847,0.7743896235801857,0.754792754791304
