representation,head_type,encoder_mode,freeze_autoencoder,freeze_esm2,num_seeds,learning_rate_mean,learning_rate_std,head_learning_rate_mean,head_learning_rate_std,representation_learning_rate_mean,representation_learning_rate_std,encoder_learning_rate_mean,encoder_learning_rate_std,esm_learning_rate_mean,esm_learning_rate_std,weight_decay_mean,weight_decay_std,dropout_mean,dropout_std,autoencoder_embedding_dropout_mean,autoencoder_embedding_dropout_std,esm_embedding_dropout_mean,esm_embedding_dropout_std,loss_mean,loss_std,accuracy_mean,accuracy_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,positive_f1_mean,positive_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,num_samples_mean,num_samples_std
esm2,linear,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6687349729862375,0.001673833460729363,0.6021344005336001,0.003885669567360698,0.6714886171653393,0.0030760719721179427,0.40066666666666667,0.012013880860626715,0.5018115914850645,0.009841941941353885,0.6714886171653393,0.0030760719721179427,0.40066666666666667,0.012013880860626715,0.5018115914850645,0.009841941941353885,0.5853047216156281,0.005399954674598998,0.6022352352352353,0.003881890754849915,0.6689209209209209,0.00011382838330041838,0.6449688378905274,0.0004815239877408327,1999.0,0.0
esm2,mlp,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.6521992091190741,0.0060618081968758526,0.6491579122894781,0.0035490739792884652,0.724182250537162,0.0067192888118637025,0.48266666666666663,0.018147543451754938,0.579064268039024,0.011477475767654515,0.724182250537162,0.0067192888118637025,0.48266666666666663,0.018147543451754938,0.579064268039024,0.011477475767654515,0.6391110312436475,0.00533331418024675,0.6492412412412412,0.0035429990306829287,0.7215105105105106,0.0017812612414603065,0.6954062635117837,0.005824385522837654,1999.0,0.0
random_autoencoder,linear,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6898481813951275,0.0023507030579372275,0.5334333833583459,0.0041654147062854235,0.6387905557681677,0.0006869863121800876,0.155,0.019697715603592215,0.24903442074244012,0.025746073103366702,0.6387905557681677,0.0006869863121800876,0.155,0.019697715603592215,0.24903442074244012,0.025746073103366702,0.4552667131480705,0.012477507177081255,0.5336227894561228,0.004157641761549801,0.6160578912245579,0.0018312340282026704,0.5972637642358993,0.0017690898646539135,1999.0,0.0
random_autoencoder,mlp,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0001,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.6705339204446066,0.005339206477594094,0.5706186426546607,0.011735459936576875,0.6667474051841795,0.03534389007950276,0.2846666666666667,0.011718930554164609,0.39876383690684053,0.013549334588241466,0.6667474051841795,0.03534389007950276,0.2846666666666667,0.011718930554164609,0.39876383690684053,0.013549334588241466,0.5323833079176142,0.011009331127367199,0.5707617617617617,0.011739215542527845,0.6624217550884217,0.019690545492172352,0.6399424762803115,0.016076163762340043,1999.0,0.0
trained_autoencoder,linear,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0001,0.0,,,0.0,0.0,0.0,0.0,0.6391955328043329,0.0027183606666050025,0.6241454060363515,0.003618898518294236,0.7024277835935258,0.004386142368488832,0.43166666666666664,0.019399312702601975,0.5345070214885218,0.013432518506450834,0.7024277835935258,0.004386142368488832,0.43166666666666664,0.019399312702601975,0.5345070214885218,0.013432518506450834,0.6096260627211635,0.006142017240412427,0.6242417417417417,0.003611000742647472,0.7145925925925926,0.0009446538251273746,0.690987558226588,0.000692044539289263,1999.0,0.0
trained_autoencoder,mlp,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.5994549773426002,0.0049707278789012915,0.6700016675004168,0.006509661929612499,0.7253620503512979,0.0014846807211742912,0.5476666666666666,0.019008769905844273,0.6240004518479566,0.012756929153638892,0.7253620503512979,0.0014846807211742912,0.5476666666666666,0.019008769905844273,0.6240004518479566,0.012756929153638892,0.664959371846125,0.00764107340438442,0.6700628962295628,0.006503432733051264,0.7666526526526526,0.0008278296434262418,0.7480745885543701,0.0028003203324735494,1999.0,0.0
trained_autoencoder+esm2,linear,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.6141049297169604,0.0030769361540976922,0.6619976654994164,0.004483685062447494,0.7307004880592821,0.004393370100715202,0.5136666666666666,0.013051181300301263,0.6031883782346892,0.009028238717678608,0.7307004880592821,0.004393370100715202,0.5136666666666666,0.013051181300301263,0.6031883782346892,0.009028238717678608,0.6543915667627621,0.005368766608833446,0.6620719052385718,0.004480169231636843,0.7522442442442442,0.001172040094146396,0.7266371362069481,0.002463059507149592,1999.0,0.0
trained_autoencoder+esm2,mlp,frozen,True,True,3,0.0001,0.0,0.0001,0.0,,,0.001,0.0,1e-05,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5674200125171559,0.007262286948916835,0.7010171752542939,0.0048069152260795675,0.7521723881127417,0.0023381002549443994,0.6,0.010816653826391976,0.6674981953304867,0.0075807654358404,0.7521723881127417,0.0023381002549443994,0.6,0.010816653826391976,0.6674981953304867,0.0075807654358404,0.6979414894634193,0.00523049354664639,0.7010677344010677,0.004803930161396926,0.7937574240907574,0.0012573848996582048,0.7680081850840504,0.002793319836997499,1999.0,0.0
