epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.5591622226598474,0.6945324754313519,0.6828463332299142,0.6853202049399774,0.6814216527674948,0.49643265610466353,0.7484874675885912,0.7317096579664094,0.7486767355322882,0.7270149035296307
2,0.5242686752702149,0.7267678222734403,0.7151744325943703,0.7195360741775856,0.7128978749631041,0.49103438703145846,0.7565543071161048,0.7440224604309804,0.7530777763102684,0.7402068462622559
3,0.5125223433505863,0.7369474054867313,0.7250758174049866,0.730713424984167,0.7223352204939016,0.4855503569000877,0.7518006338231057,0.736105115232471,0.7512580032012806,0.731474356704199
4,0.5016824604492639,0.7424213323089728,0.7297964911117798,0.7372678044349944,0.7265430064093682,0.47450295303549084,0.7637568424085278,0.7503275491464072,0.762459035887137,0.745799520666919
5,0.4910462780355949,0.7518966676270047,0.7397173463052633,0.7474876053914736,0.7362573385834283,0.46686702925488693,0.7650532987611639,0.7533038236615067,0.7618848523072181,0.7494591182302308
6,0.48007706509051645,0.7572105381094145,0.7448319220023,0.7536766689456273,0.741051336233417,0.48134608223416286,0.7633246902909824,0.7511246755465617,0.7604307622913847,0.7471430954744966
7,0.46965980773240745,0.7640129325522584,0.7528184553246291,0.7601241525850273,0.7493097112596132,0.4751473476741171,0.7682224142898301,0.7544334450271988,0.7682485689123735,0.7495334460054794
8,0.4606226567155115,0.7691827523288197,0.7576788614823502,0.7663087052683595,0.7537624797762367,0.4631348614181791,0.7696629213483146,0.7539746739436755,0.7730847829758487,0.7483693757618917
9,0.4451751951695862,0.7787701270847338,0.7688004633810265,0.7753144467392918,0.7653573840450023,0.47041172390022584,0.7693748199366177,0.7561786607104877,0.76875,0.7514529970691304
10,0.43363510439513436,0.7871570792919107,0.7776946758410628,0.7840923927026038,0.7742084514701714,0.47262988019786123,0.7696629213483146,0.7540891313134626,0.7728850275377084,0.7485163245896505
