epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.5595735719105498,0.6945324754313519,0.6811691322528702,0.6854045427319009,0.6792509636123307,0.4941999472694875,0.7483434168827428,0.7387392186907816,0.7418120520180236,0.7367858485377439
2,0.5117310130460696,0.7405166618649764,0.7301037222296314,0.7338153453623406,0.7279387860340127,0.4739492418424737,0.7585710169979832,0.7453460641419837,0.7561624024851119,0.741153650701271
3,0.4985502898688315,0.7490316591440187,0.7385040766787166,0.7430627364146973,0.735974879484425,0.46572287749361746,0.7664938058196485,0.7558876604192999,0.7622895214763588,0.7526055469342353
4,0.48853509299333053,0.7554339127372836,0.7453513932580504,0.7497213592019902,0.7428398937440728,0.4648664473869284,0.7695188706424662,0.7522252259133437,0.7758541127302898,0.7462374657215405
5,0.4790837700942605,0.7610038733634239,0.7514812219670138,0.7553740489605792,0.7491158085993197,0.46048412328234056,0.766637856525497,0.7571520685620802,0.7614472724959178,0.7545905081468276
6,0.4731732872098913,0.7669259579371939,0.7570479460257604,0.762099708881853,0.7542032476593847,0.48593584615908875,0.7680783635839815,0.7537960576952307,0.7688227069745848,0.7487240754149576
7,0.4656338457123075,0.7713435129165466,0.7622823389404998,0.7662307181341876,0.7598329734237186,0.46290176356219886,0.7673581100547393,0.7575391565115344,0.7625112220100555,0.7547187256925347
8,0.46078434905726534,0.7744486059092801,0.7655500444446764,0.7694679169758922,0.7630960245840684,0.45650761577081844,0.7731201382886776,0.7629040932403537,0.7692668264378879,0.7595651355799209
9,0.4515868170802194,0.7792663017382119,0.7703737934235657,0.7747137425499768,0.767714488040809,0.46356642714911894,0.7702391241717085,0.7567455470883816,0.7702122847945271,0.7518517728369103
10,0.44948719339624105,0.782835558116457,0.7743233879488969,0.7782457160379521,0.771821964564203,0.4693634076009629,0.7667819072313454,0.7504288072681675,0.7706333924241497,0.7448195631387143
