dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v3,esm2,linear,42,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/esm2/seed_42,,0.6646115316815111,0.6113056528264132,0.6807131280388979,0.42,0.5194805194805194,0.6807131280388979,0.42,0.5194805194805194,0.596573523074993,0.6114014014014014,0.6808278278278278,0.6565434096506773,1999
solubility,v3,esm2,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/esm2/seed_43,,0.6670256395707315,0.6133066533266633,0.6827697262479872,0.424,0.5231338679827268,0.6827697262479872,0.424,0.5231338679827268,0.5989670181310353,0.6134014014014014,0.6783623623623622,0.6542316901601297,1999
solubility,v3,esm2,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/esm2/seed_44,,0.6635006352208029,0.6153076538269134,0.6807511737089202,0.435,0.5308114704087858,0.6807511737089202,0.435,0.5308114704087858,0.6024129416478011,0.6153978978978979,0.6823513513513513,0.6567253566562071,1999
solubility,v3,esm2,mlp,42,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/final/mlp/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/esm2/seed_42,,0.6705234882502391,0.6433216608304152,0.71071953010279,0.484,0.5758477096966091,0.71071953010279,0.484,0.5758477096966091,0.6340611012876658,0.6434014014014013,0.715900900900901,0.6895578326015179,1999
solubility,v3,esm2,mlp,43,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/final/mlp/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/esm2/seed_43,,0.6607032402149733,0.6483241620810405,0.7187039764359352,0.488,0.5812983918999405,0.7187039764359352,0.488,0.5812983918999405,0.6390752416593277,0.6484044044044044,0.7194634634634635,0.6959018113009301,1999
solubility,v3,esm2,mlp,44,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/final/mlp/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/esm2/seed_44,,0.6585304929263118,0.6468234117058529,0.6949602122015915,0.524,0.5974914481185861,0.6949602122015915,0.524,0.5974914481185861,0.6414373461626799,0.6468848848848849,0.7146076076076076,0.6896222986975299,1999
solubility,v3,random_autoencoder,linear,42,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/random_autoencoder/seed_42,,0.6784965003830842,0.551775887943972,0.6130434782608696,0.282,0.3863013698630137,0.6130434782608696,0.282,0.3863013698630137,0.5166337424571176,0.5519109109109109,0.6329869869869869,0.6061959608858707,1999
solubility,v3,random_autoencoder,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/random_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/random_autoencoder/seed_43,,0.6813461200901125,0.5617808904452226,0.6731843575418994,0.241,0.3549337260677467,0.6731843575418994,0.241,0.3549337260677467,0.5115577721247825,0.5619414414414414,0.6406736736736738,0.6211774666692731,1999
solubility,v3,random_autoencoder,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v3/final/linear/random_autoencoder/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/random_autoencoder/seed_44,,0.6867875786588572,0.5562781390695347,0.6565096952908587,0.237,0.34827332843497427,0.6565096952908587,0.237,0.34827332843497427,0.5059531223138087,0.5564379379379379,0.6260590590590591,0.6051485789852165,1999
solubility,v3,random_autoencoder,mlp,42,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v3/final/mlp/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/random_autoencoder/seed_42,,0.6626218765631147,0.5807903951975988,0.6557692307692308,0.341,0.4486842105263158,0.6557692307692308,0.341,0.4486842105263158,0.555254131090438,0.5809104104104105,0.673045045045045,0.643956111993333,1999
solubility,v3,random_autoencoder,mlp,43,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v3/final/mlp/random_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/random_autoencoder/seed_43,,0.660659823210732,0.6018009004502252,0.6895910780669146,0.371,0.48244473342002603,0.6895910780669146,0.371,0.48244473342002603,0.5794337488238341,0.6019164164164164,0.6843243243243243,0.6644115850559784,1999
solubility,v3,random_autoencoder,mlp,44,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v3/final/mlp/random_autoencoder/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/mlp/random_autoencoder/seed_44,,0.6748161663139624,0.5802901450725363,0.6587771203155819,0.334,0.4432647644326476,0.6587771203155819,0.334,0.4432647644326476,0.5532261196711612,0.5804134134134135,0.6594179179179178,0.6395969397610656,1999
solubility,v3,trained_autoencoder,linear,42,final,0.001,0.0001,,complete,Code/results/classifier/solubility/v3/final/linear/trained_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/trained_autoencoder/seed_42,,0.6469355273866964,0.609304652326163,0.6697674418604651,0.432,0.5252279635258359,0.6697674418604651,0.432,0.5252279635258359,0.5966556307216939,0.6093933933933934,0.6965065065065066,0.6663966645001997,1999
solubility,v3,trained_autoencoder,linear,43,final,0.001,0.0001,,complete,Code/results/classifier/solubility/v3/final/linear/trained_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/final/linear/trained_autoencoder/seed_43,,0.6501230298429206,0.6038019009504753,0.6524926686217009,0.445,0.5291319857312723,0.6524926686217009,0.445,0.5291319857312723,0.5935815369070869,0.6038813813813814,0.6886386386386386,0.6596284298810675,1999
