representation,head_type,num_seeds,learning_rate_mean,learning_rate_std,weight_decay_mean,weight_decay_std,dropout_mean,dropout_std,loss_mean,loss_std,accuracy_mean,accuracy_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,positive_f1_mean,positive_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,num_samples_mean,num_samples_std
esm2,linear,3,0.001,0.0,0.0,0.0,,,0.5205615851726854,0.025213471366403513,0.7300316825079206,0.018565503631438114,0.7867202320891046,0.01495532665110471,0.6333333333333333,0.07100938905055679,0.6997663609136335,0.03793571323811335,0.7867202320891046,0.01495532665110471,0.6333333333333333,0.07100938905055679,0.6997663609136335,0.03793571323811335,0.7268471718219409,0.02155259917216378,0.7300800800800801,0.018539322979455795,0.8349456122789456,0.004625078555578538,0.8252026419523436,0.005177151092647296,1999.0,0.0
esm2,mlp,3,0.0003,0.0,0.0,0.0,0.3,0.0,0.5265367651146731,0.016267062592228293,0.7321994330498582,0.012195574122545664,0.7912397799675724,0.021773692190585895,0.6336666666666667,0.0615819237547297,0.701917324084683,0.030562769339880544,0.7912397799675724,0.021773692190585895,0.6336666666666667,0.0615819237547297,0.701917324084683,0.030562769339880544,0.7290341004636528,0.015350402373983356,0.7322487487487487,0.012170948220216,0.8347797797797797,0.0015377574683168736,0.8254810442724958,0.0011778769526452407,1999.0,0.0
random_autoencoder,linear,3,0.001,0.0,0.0,0.0,,,0.5164292629299431,0.013960101732360624,0.72002668000667,0.014758085240403871,0.8038898235826166,0.01349965847092427,0.5823333333333333,0.028360771028541048,0.6752024235586496,0.022050297177701933,0.8038898235826166,0.01349965847092427,0.5823333333333333,0.028360771028541048,0.6752024235586496,0.022050297177701933,0.7145539458005016,0.01606823869324626,0.7200955955955957,0.01475225943500577,0.8258551885218552,0.005887886639898292,0.8236293890371886,0.008002454967407877,1999.0,0.0
random_autoencoder,mlp,3,0.001,0.0,0.0,0.0,0.10000000000000002,0.0,0.5164514706097822,0.0026533556332795725,0.7033516758379189,0.013543758249805762,0.8125509976362459,0.005279886208202854,0.5293333333333333,0.04052571200279313,0.6403669300817512,0.02762817100963955,0.8125509976362459,0.005279886208202854,0.5293333333333333,0.04052571200279313,0.6403669300817512,0.02762817100963955,0.6938602577231064,0.01671484933094143,0.7034387721054388,0.01353028509471272,0.8225735735735736,0.003416233691452648,0.821198336236257,0.003561756863135119,1999.0,0.0
trained_autoencoder,linear,3,0.001,0.0,0.0001,0.0,,,0.5122487381714392,0.01332400066814153,0.7175254293813573,0.0170109562818731,0.8125039307637664,0.03208859895214939,0.5703333333333332,0.08124858973135063,0.6666413357662759,0.044745032108413435,0.8125039307637664,0.03208859895214939,0.5703333333333332,0.08124858973135063,0.6666413357662759,0.044745032108413435,0.7101904398706421,0.022897321027481026,0.7175990990990991,0.016978989985147287,0.8331925258591926,0.0014498825987901097,0.8314449392527165,0.0027372050863214677,1999.0,0.0
trained_autoencoder,mlp,3,0.001,0.0,0.0,0.0,0.10000000000000002,0.0,0.5426756132587266,0.012084560355004473,0.72002668000667,0.004935350537585063,0.802424434104614,0.021095583061453593,0.5856666666666667,0.037072002014098604,0.6762330499469243,0.018053425099109566,0.802424434104614,0.021095583061453593,0.5856666666666667,0.037072002014098604,0.6762330499469243,0.018053425099109566,0.7146529324055253,0.007720115617623633,0.720093927260594,0.004919575574047703,0.8246159492826161,0.007465650237208266,0.8243843289694791,0.004433350631633587,1999.0,0.0
trained_autoencoder+esm2,linear,3,0.001,0.0,0.0001,0.0,,,0.5325555433794839,0.018584744642858333,0.7355344338836085,0.0054875713429729375,0.8009173313068055,0.008647368599338144,0.6273333333333334,0.010066445913694357,0.7035319536010843,0.0069772353355685105,0.8009173313068055,0.008647368599338144,0.6273333333333334,0.010066445913694357,0.7035319536010843,0.0069772353355685105,0.732407798882675,0.005627126506496435,0.7355885885885886,0.005487064574744583,0.8340210210210209,0.0031662155354164785,0.8226403169499892,0.004871641689063785,1999.0,0.0
trained_autoencoder+esm2,mlp,3,0.0003,0.0,0.0001,0.0,0.10000000000000002,0.0,0.5160231144056134,0.015626891779662703,0.7355344338836085,0.009678687250913087,0.8007618730142244,0.026729970966519277,0.6303333333333333,0.0583466651432054,0.7035368067425187,0.02781075766700224,0.8007618730142244,0.026729970966519277,0.6303333333333333,0.0583466651432054,0.7035368067425187,0.02781075766700224,0.7320626656645337,0.013031563226148872,0.7355870870870871,0.009654329946575746,0.8389129129129128,0.0012195384622256495,0.8281827102348197,0.0009132138062703018,1999.0,0.0
