dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v3,esm2,linear,42,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/esm2/seed_42,,0.5173077119655046,0.7283641820910455,0.7831474597273854,0.632,0.6995019369120089,0.7831474597273854,0.632,0.6995019369120089,0.7258349483738502,0.7284124124124124,0.8324294294294293,0.823708941470965,1999
solubility,v3,esm2,linear,43,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/esm2/seed_43,,0.5472440275625923,0.7123561780890445,0.8031383737517832,0.563,0.6619635508524397,0.8031383737517832,0.563,0.6619635508524397,0.7058185190048006,0.7124309309309309,0.8321241241241242,0.820936555170683,1999
solubility,v3,esm2,linear,44,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/esm2/seed_44,,0.49713301598995907,0.7493746873436719,0.7738748627881449,0.705,0.7378335949764521,0.7738748627881449,0.705,0.7378335949764521,0.7488880480871719,0.7493968968968969,0.8402832832832833,0.8309624292153828,1999
solubility,v3,esm2,mlp,42,end_to_end,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/end_to_end/mlp/esm2/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/mlp/esm2/seed_42,,0.5081165742134678,0.7413706853426714,0.7728813559322034,0.684,0.7257294429708223,0.7728813559322034,0.684,0.7257294429708223,0.7405268132979999,0.7413993993993995,0.8350410410410409,0.8267879808499933,1999
solubility,v3,esm2,mlp,43,end_to_end,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/end_to_end/mlp/esm2/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/mlp/esm2/seed_43,,0.5389311580940627,0.7183591795897949,0.8152958152958153,0.565,0.6674542232722976,0.8152958152958153,0.565,0.6674542232722976,0.7116012981871249,0.7184359359359359,0.83617017017017,0.8251536614056421,1999
solubility,v3,esm2,mlp,44,end_to_end,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v3/end_to_end/mlp/esm2/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/mlp/esm2/seed_44,,0.5325625630364887,0.7368684342171086,0.7855421686746988,0.652,0.7125683060109289,0.7855421686746988,0.652,0.7125683060109289,0.7349741899058335,0.7369109109109109,0.8331281281281282,0.8245014905618522,1999
solubility,v3,random_autoencoder,linear,42,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_42,,0.5166445958012041,0.7348674337168585,0.8192934782608695,0.603,0.6947004608294931,0.8192934782608695,0.603,0.6947004608294931,0.7301972684341984,0.7349334334334334,0.8315835835835836,0.8304183784198997,1999
solubility,v3,random_autoencoder,linear,43,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_43,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_43,,0.5023627403737784,0.7198599299649825,0.7941176470588235,0.594,0.6796338672768879,0.7941176470588235,0.594,0.6796338672768879,0.7153724891939994,0.7199229229229229,0.8261621621621622,0.8256636605847192,1999
solubility,v3,random_autoencoder,linear,44,end_to_end,0.001,0.0,,complete,Code/results/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_44,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/linear/random_autoencoder/seed_44,,0.5302804526148467,0.7053526763381691,0.7982583454281568,0.55,0.6512729425695678,0.7982583454281568,0.55,0.6512729425695678,0.698092079773307,0.7054304304304304,0.8198198198198199,0.8148061281069472,1999
solubility,v3,random_autoencoder,mlp,42,end_to_end,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v3/end_to_end/mlp/random_autoencoder/seed_42,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v3/end_to_end/mlp/random_autoencoder/seed_42,,0.5172040418662567,0.7188594297148574,0.8067226890756303,0.576,0.6721120186697783,0.8067226890756303,0.576,0.6721120186697783,0.7130262370056422,0.7189309309309309,0.8258348348348348,0.8248632871939902,1999
