epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.6079402199492205,0.6398252184769039,0.5945974576271187,0.43052732502396934,0.49943276609943277,0.5945974576271187,0.43052732502396934,0.49943276609943277,0.6090743910746161,0.610134964327769,0.6984952690438391,0.5997651348154797,62478,0.5696479989056352,0.6835205992509363,0.6242015613910575,0.6071798412150501,0.6155730533683289,0.6242015613910575,0.6071798412150501,0.6155730533683289,0.6733147431121238,0.6726875720290331,0.7534643698160963,0.6661996012205903,6942
2,0.5597336405574629,0.6878581260603732,0.6360249989652746,0.5893384467881112,0.6117923401544709,0.6360249989652746,0.5893384467881112,0.6117923401544709,0.6753956347453296,0.673882475049139,0.7585511018933699,0.6701105741193586,62478,0.5359284472513597,0.7149236531259003,0.6746575342465754,0.6120124266482568,0.6418099547511312,0.6746575342465754,0.6120124266482568,0.6418099547511312,0.7025295736191355,0.7003201811856858,0.7888372652669549,0.7179195799197899,6942
3,0.5398026727388708,0.7053362783699862,0.6626766840697822,0.5987344199424737,0.629084901478825,0.6626766840697822,0.5987344199424737,0.629084901478825,0.6923337998804338,0.6902141181930868,0.7790417197448958,0.700927078548622,62478,0.532686309370037,0.7084413713627197,0.6372209996856334,0.6996893337935796,0.6669957222770648,0.6372209996856334,0.6996893337935796,0.6669957222770648,0.7038539974439385,0.7071994258584708,0.7948790637601746,0.7289380019930252,6942
4,0.5312997480983362,0.7106181375844297,0.6710453125668564,0.601457334611697,0.634348582291793,0.6710453125668564,0.601457334611697,0.634348582291793,0.6974550486614574,0.6951329746431558,0.7887778121602349,0.7173984138580438,62478,0.5260062484568115,0.7238547968885047,0.7113891285591026,0.5692095270969969,0.6324065196548418,0.7113891285591026,0.5692095270969969,0.6324065196548418,0.7056368738544136,0.7019100787524539,0.7990869033350642,0.7377278521218568,6942
5,0.5238778933636101,0.7171484362495598,0.6781731054662652,0.6133077660594439,0.6441114870307717,0.6781731054662652,0.6133077660594439,0.6441114870307717,0.7047117860120657,0.7024179684073008,0.7962636786043442,0.7294498308516566,62478,0.5214281753328066,0.723278594065111,0.706081081081081,0.577148774594408,0.6351377018043685,0.706081081081081,0.577148774594408,0.6351377018043685,0.7061290086931112,0.7025422488546824,0.8019644378716655,0.7413758231345848,6942
6,0.5181182641264701,0.7240628701302858,0.6893403626076894,0.61679769894535,0.6510545277901469,0.6893403626076894,0.61679769894535,0.6510545277901469,0.7114306391432534,0.7088466147667442,0.802290760807514,0.7377929846174827,62478,0.5172700413157431,0.7271679631230193,0.6994035785288271,0.6071798412150501,0.6500369549150037,0.6994035785288271,0.6071798412150501,0.6500369549150037,0.7132384963432431,0.7101412185061653,0.8070972785025898,0.7471750913714985,6942
7,0.511349298919742,0.7284324082076891,0.6935072660831137,0.6259252157238735,0.6579854461891995,0.6935072660831137,0.6259252157238735,0.6579854461891995,0.7164003172921126,0.7138911027662029,0.8085696196954045,0.7485638439367079,62478,0.5156683102615008,0.726447709593777,0.7065397350993378,0.5892302381774249,0.64257481648786,0.7065397350993378,0.5892302381774249,0.64257481648786,0.7105068692169787,0.7069760585201093,0.8065314145787403,0.749225628133875,6942
8,0.50722051902443,0.7328179519190755,0.7001450635719771,0.6293384467881112,0.6628562195786966,0.7001450635719771,0.6293384467881112,0.6628562195786966,0.7207949165176066,0.7181387176665057,0.8135537937421475,0.752304900488468,62478,0.5110805784890096,0.7358110054739269,0.700641751604379,0.6406627545736969,0.6693112152902994,0.700641751604379,0.6406627545736969,0.6693112152902994,0.7246771955559197,0.722309127595872,0.8110832867895821,0.7555248625445801,6942
9,0.5020326332191319,0.7393962674861552,0.7094221804028913,0.6361265580057527,0.6707780653510191,0.7094221804028913,0.6361265580057527,0.6707780653510191,0.7275612181059732,0.7247467940977861,0.8184372838741468,0.7610580142440964,62478,0.5116443171843916,0.735234802650533,0.7207169654022509,0.5968243010010356,0.6529456193353474,0.7207169654022509,0.5968243010010356,0.6529456193353474,0.7194630285777808,0.7155938563101594,0.812510277670989,0.7579240525758453,6942
10,0.49691117295817727,0.7430455520343161,0.7127691197078432,0.6437200383509109,0.6764871836208286,0.7127691197078432,0.6437200383509109,0.6764871836208286,0.7316886085363741,0.7289555882219626,0.8233674234122866,0.7660171992282242,62478,0.5076125321608735,0.7382598674733506,0.7061068702290076,0.6385916465308941,0.6706543411274243,0.7061068702290076,0.6385916465308941,0.6706543411274243,0.7267458391426532,0.7241165896436919,0.8147035443937785,0.7617187458121893,6942
