epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.5591622226598474,0.6945324754313519,0.49643265610466353,0.7484874675885912
2,0.5242686752702149,0.7267678222734403,0.49103438703145846,0.7565543071161048
3,0.5125223433505863,0.7369474054867313,0.4855503569000877,0.7518006338231057
4,0.5016824604492639,0.7424213323089728,0.47450295303549084,0.7637568424085278
5,0.4910462780355949,0.7518966676270047,0.46686702925488693,0.7650532987611639
6,0.48007706509051645,0.7572105381094145,0.48134608223416286,0.7633246902909824
7,0.46965980773240745,0.7640129325522584,0.4751473476741171,0.7682224142898301
8,0.4606226567155115,0.7691827523288197,0.4631348614181791,0.7696629213483146
9,0.4451751951695862,0.7787701270847338,0.47041172390022584,0.7693748199366177
10,0.43363510439513436,0.7871570792919107,0.47262988019786123,0.7696629213483146
