version,file name,test teacher force loss,test autoregressive loss,test teacher forced accuracy,test autoregressive accuracy
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent128_tfd0p3.pt,2.520359,3.121449,0.191311,0.091577
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent128_tfd0p45.pt,2.497853,3.102203,0.194891,0.092959
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent256_tfd0p3.pt,2.470593,3.075428,0.202691,0.095527
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent256_tfd0p45.pt,2.471295,3.079412,0.202403,0.093653
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent512_tfd0p3.pt,2.200560,3.177807,0.268392,0.105091
v7,checkpoints/autoencoder/solubility/v7/model_ae_length_3_of_3_solubility_latent512_tfd0p45.pt,2.196477,3.112418,0.270523,0.105993
v10,checkpoints/autoencoder/solubility/v10/model_ae_length_2_of_3_solubility_latent256_tfd0p3_sf0p5.pt,0.900728,3.839635,0.656573,0.281147
v10,checkpoints/autoencoder/solubility/v10/model_ae_length_2_of_3_solubility_latent256_tfd0p45_sf0p5.pt,0.904368,4.075494,0.653643,0.265845
v11,checkpoints/autoencoder/solubility/v11/model_ae_length_2_of_3_solubility_latent256_tfd0p1_lr0p0003_lrp3_sf0p1.pt,0.687618,3.242313,0.732385,0.366675
v11,checkpoints/autoencoder/solubility/v11/model_ae_length_2_of_3_solubility_latent256_tfd0p2_lr0p0003_lrp3_sf0p1.pt,0.774194,3.121571,0.705052,0.336820
v11,checkpoints/autoencoder/solubility/v11/model_ae_length_2_of_3_solubility_latent256_tfd0p3_lr0p0003_lrp3_sf0p1.pt,0.887987,2.894731,0.672110,0.307047
v11,checkpoints/autoencoder/solubility/v11/model_ae_length_2_of_3_solubility_latent256_tfd0p45_lr0p0003_lrp3_sf0p1.pt,1.031534,2.508692,0.628282,0.312061
