epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,1.8167025609758367,0.3739904988123515,0.1732352253490969,0.19091203882831165,0.19087208517318288,1.2993117962032557,0.5667022411953042,0.291796106472997,0.271960833198275,0.3310263239345973
2,1.2974621089178877,0.5536817102137768,0.3065542762547415,0.38539515245708045,0.32853316767720697,1.0277383420616388,0.6293134115972964,0.35346649712865086,0.3562277429610502,0.38526592329612547
3,1.1130841868086603,0.6201900237529692,0.3924434618199256,0.4322595378232382,0.40166922904781777,0.936071097215807,0.6627534685165422,0.40460374672119964,0.4812031924314656,0.43071751966195854
4,1.0130136339895186,0.6508313539192399,0.4297836842754963,0.5084773639020017,0.43559609641448266,0.887431862340732,0.688367129135539,0.4618987306143386,0.4933208150607692,0.4673398775530505
5,0.9568873718522305,0.6736342042755344,0.45150265889291524,0.4655155946534485,0.459884924231894,0.8523321508599276,0.7104233368907862,0.498155293585368,0.5007984584049672,0.5039152251708849
6,0.9121132051922113,0.6957244655581948,0.48542048120518266,0.5324174421944409,0.49265936107144553,0.8387340021489019,0.7143365350409107,0.5036261683374872,0.501535168715628,0.5119019986810385
7,0.8677504722601549,0.7093824228028504,0.5021356864442662,0.5288913387825401,0.5089217910427255,0.8023282653461634,0.7242974030594095,0.5172793937215625,0.5625115552098492,0.5232914794866094
8,0.8311274301621222,0.7231591448931116,0.5183744771022198,0.5515402091113056,0.5248190128339082,0.7850994132988324,0.7285663464959089,0.5156269530947897,0.5661009761464294,0.5213462194638447
9,0.7928903590343482,0.7376484560570071,0.5385710880242776,0.5899684491688498,0.5411462067490171,0.7729401424823498,0.7328352899324084,0.5385758673888936,0.6045093196665344,0.5398518994526091
10,0.7633108281207039,0.746437054631829,0.5480079890813994,0.6440113900036228,0.5512409219040701,0.7584423727398231,0.7406616862326574,0.5611815468557347,0.6026708525572431,0.5643738402821856
