epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.5688376014449921,0.6884183232497839,0.6444434729387077,0.5653307766059444,0.6023003534290793,0.6444434729387077,0.5653307766059444,0.6023003534290793,0.6730896033462972,0.6709575620249182,0.7566330864863713,0.6771313020171793,62478,0.5396493353406828,0.7127628925381735,0.6735870818915801,0.6047635484984467,0.6373226627864678,0.6735870818915801,0.6047635484984467,0.6373226627864678,0.6997727074962627,0.6974373984766646,0.7873101750969526,0.7197671198101996,6942
2,0.5205643530063918,0.7289926053970998,0.6888815436102963,0.639424736337488,0.663232427701977,0.6888815436102963,0.639424736337488,0.663232427701977,0.7182494927283017,0.7162868263177977,0.8054052913416336,0.7382293443309239,62478,0.5171609869765054,0.7320656871218669,0.6932538203503541,0.6420434932688989,0.6666666666666666,0.6932538203503541,0.6420434932688989,0.6666666666666666,0.7213391136801541,0.7192912151140538,0.8092997615281654,0.7477124096931511,6942
3,0.49079524127487384,0.750536188738436,0.7153356600287415,0.6681495685522532,0.6909379337695816,0.7153356600287415,0.6681495685522532,0.6909379337695816,0.7409014334065416,0.7388491160619683,0.8312808941367948,0.7722965272764826,62478,0.5065917001269249,0.738403918179199,0.6984943077488065,0.6565412495685191,0.6768683274021352,0.6984943077488065,0.6565412495685191,0.6768683274021352,0.7285600107485022,0.7267873120524919,0.8181183552483644,0.7609353596624636,6942
4,0.469019936179263,0.7664938058196485,0.7345805081284209,0.6897027804410355,0.7114346183515636,0.7345805081284209,0.6897027804410355,0.7114346183515636,0.7576716365188912,0.7556005043045217,0.8484578017642018,0.7971461518107202,62478,0.5024392184366997,0.7464707577067128,0.6962374870555748,0.6962374870555748,0.6962374870555748,0.6962374870555748,0.6962374870555748,0.6962374870555748,0.7393424765314957,0.7393424765314957,0.8244757694439454,0.7695509890464186,6942
5,0.450648155016525,0.7785140369410032,0.7491144497373885,0.7056184084372004,0.7267161703136109,0.7491144497373885,0.7056184084372004,0.7267161703136109,0.770260668579841,0.7681733225604951,0.8619615432641241,0.8156780968573676,62478,0.5027305243665084,0.7463267070008643,0.6988795518207283,0.6889886089057646,0.6938988353902312,0.6988795518207283,0.6889886089057646,0.6938988353902312,0.73866015438187,0.7381902253428699,0.8255919661147267,0.7693734924407849,6942
6,0.4353185842525196,0.7905502736963411,0.7623934386489435,0.7236816874400767,0.7425333490733089,0.7623934386489435,0.7236816874400767,0.7425333490733089,0.7830028137515472,0.7810645340752289,0.8728998566147064,0.8302622023046727,62478,0.5060451465359135,0.7434456928838952,0.7136294027565084,0.6434242319641008,0.6767108368124887,0.7136294027565084,0.6434242319641008,0.6767108368124887,0.7320270601972891,0.7292522890352025,0.8256730354447911,0.7731846337712173,6942
7,0.4192564288126399,0.7994654118249623,0.7739886731391585,0.7337679769894535,0.753341864356728,0.7739886731391585,0.7337679769894535,0.753341864356728,0.7921993096274276,0.7901458075755717,0.8832997859874212,0.8447619588492389,62478,0.5066796293505259,0.7466148084125612,0.7126307922272048,0.6582671729375216,0.6843710748250493,0.7126307922272048,0.6582671729375216,0.6843710748250493,0.7363619301450478,0.7340779622413195,0.8269637871836217,0.7749503631127902,6942
8,0.403906804699458,0.8097090175741861,0.785754572556603,0.7479961649089166,0.7664105939446333,0.785754572556603,0.7479961649089166,0.7664105939446333,0.802938212620651,0.80095465196796,0.8928002815188416,0.8573967328773857,62478,0.5181978841794392,0.7461826562950159,0.7171833141982396,0.6468760787021056,0.6802177858439201,0.7171833141982396,0.6468760787021056,0.6802177858439201,0.7349023010900995,0.7320906969530305,0.8252642326809243,0.7714507321286419,6942
9,0.38987097498827855,0.8180639585133967,0.7945370073694329,0.7608053691275167,0.7773054091648218,0.7945370073694329,0.7608053691275167,0.7773054091648218,0.8117582475856715,0.8099414588406038,0.9008595827327561,0.8683628112909815,62478,0.527249939115066,0.7391241717084414,0.6858316221765913,0.6917500862961684,0.6887781405739818,0.6858316221765913,0.6917500862961684,0.6887781405739818,0.7321138068027999,0.7324016191678617,0.8224164377880362,0.7658751717872713,6942
