dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,loss,accuracy,positive_precision,positive_recall,positive_f1,precision,recall,f1,macro_f1,balanced_accuracy,auroc,auprc,num_samples
solubility,v1,esm2,linear,42,final,0.001,0.0,,complete,Code/results/classifier/solubility/v1/final/linear/esm2/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/esm2/seed_42,,0.6646115316815111,0.6113056528264132,0.6807131280388979,0.42,0.5194805194805194,0.6807131280388979,0.42,0.5194805194805194,0.596573523074993,0.6114014014014014,0.6808278278278278,0.6565434096506773,1999.0
solubility,v1,esm2,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v1/final/linear/esm2/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/esm2/seed_43,,0.6670256395707315,0.6133066533266633,0.6827697262479872,0.424,0.5231338679827268,0.6827697262479872,0.424,0.5231338679827268,0.5989670181310353,0.6134014014014014,0.6783623623623622,0.6542316901601297,1999.0
solubility,v1,esm2,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v1/final/linear/esm2/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/esm2/seed_44,,0.6635006352208029,0.6153076538269134,0.6807511737089202,0.435,0.5308114704087858,0.6807511737089202,0.435,0.5308114704087858,0.6024129416478011,0.6153978978978979,0.6823513513513513,0.6567253566562071,1999.0
solubility,v1,esm2,mlp,42,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v1/final/mlp/esm2/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/mlp/esm2/seed_42,,0.6705234882502391,0.6433216608304152,0.71071953010279,0.484,0.5758477096966091,0.71071953010279,0.484,0.5758477096966091,0.6340611012876658,0.6434014014014013,0.715900900900901,0.6895578326015179,1999.0
solubility,v1,esm2,mlp,43,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v1/final/mlp/esm2/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/mlp/esm2/seed_43,,0.6607032402149733,0.6483241620810405,0.7187039764359352,0.488,0.5812983918999405,0.7187039764359352,0.488,0.5812983918999405,0.6390752416593277,0.6484044044044044,0.7194634634634635,0.6959018113009301,1999.0
solubility,v1,esm2,mlp,44,final,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v1/final/mlp/esm2/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/mlp/esm2/seed_44,,0.6585304929263118,0.6468234117058529,0.6949602122015915,0.524,0.5974914481185861,0.6949602122015915,0.524,0.5974914481185861,0.6414373461626799,0.6468848848848849,0.7146076076076076,0.6896222986975299,1999.0
solubility,v1,random_autoencoder,linear,42,final,0.001,0.0,,failed,Code/results/classifier/solubility/v1/final/linear/random_autoencoder/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/random_autoencoder/seed_42,Run artifacts already exist but do not form a validated completed run: Code/results/classifier/solubility/v1/final/linear/random_autoencoder/seed_42. Use --resume or --overwrite.,,,,,,,,,,,,,
solubility,v1,random_autoencoder,linear,43,final,0.001,0.0,,complete,Code/results/classifier/solubility/v1/final/linear/random_autoencoder/seed_43,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/random_autoencoder/seed_43,,0.6708081262954895,0.5637818909454727,0.672972972972973,0.249,0.3635036496350365,0.672972972972973,0.249,0.3635036496350365,0.5158461931584619,0.5639394394394395,0.6726196196196196,0.6450605370619157,1999.0
solubility,v1,random_autoencoder,linear,44,final,0.001,0.0,,complete,Code/results/classifier/solubility/v1/final/linear/random_autoencoder/seed_44,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/linear/random_autoencoder/seed_44,,0.6766444981068358,0.5777888944472236,0.6718061674008811,0.305,0.4195323246217332,0.6718061674008811,0.305,0.4195323246217332,0.5438856591662125,0.5779254254254255,0.644928928928929,0.620914516838071,1999.0
solubility,v1,random_autoencoder,mlp,42,final,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v1/final/mlp/random_autoencoder/seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/final/mlp/random_autoencoder/seed_42,,0.6429778939786704,0.6223111555777889,0.6653171390013495,0.493,0.5663411832280298,0.6653171390013495,0.493,0.5663411832280298,0.6159131702582329,0.622375875875876,0.6906206206206207,0.6575904838720958,1999.0
