representation,head_type,num_seeds,learning_rate_mean,learning_rate_std,weight_decay_mean,weight_decay_std,dropout_mean,dropout_std,loss_mean,loss_std,accuracy_mean,accuracy_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,positive_f1_mean,positive_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,num_samples_mean,num_samples_std
esm2,linear,3,0.001,0.0,0.0,0.0,,,0.6650459354910151,0.0018022052932553324,0.6133066533266633,0.0020010005002500664,0.6814113426652684,0.0011765484845945202,0.4263333333333333,0.007767453465154028,0.5244752859573439,0.00578335230395526,0.6814113426652684,0.0011765484845945202,0.4263333333333333,0.007767453465154028,0.5244752859573439,0.00578335230395526,0.5993178276179432,0.0029354731797774,0.6134002335669003,0.0019982485041919245,0.6805138471805138,0.0020129446524270725,0.6558334854890048,0.0013901753072579114,1999.0,0.0
esm2,mlp,3,0.0003,0.0,0.0,0.0,0.3,0.0,0.663252407130508,0.006389966602602719,0.6461564115391029,0.002567084261854326,0.7081279062467724,0.01208217574207288,0.49866666666666665,0.022030282189144434,0.5848791832383786,0.011257415475002032,0.7081279062467724,0.01208217574207288,0.49866666666666665,0.022030282189144434,0.5848791832383786,0.011257415475002032,0.6381912297032245,0.003766743284050952,0.6462302302302302,0.002564944307321352,0.7166573239906574,0.002514749677651818,0.6916939808666593,0.003644230603579506,1999.0,0.0
random_autoencoder,linear,2,0.001,0.0,0.0,0.0,,,0.6737263122011626,0.0041269380853290035,0.5707853926963482,0.009904447160191726,0.672389570186927,0.0008250561323524474,0.277,0.03959797974644664,0.3915179871283848,0.03961825602399033,0.672389570186927,0.0008250561323524474,0.277,0.03959797974644664,0.3915179871283848,0.03961825602399033,0.5298659261623372,0.019826896554930095,0.5709324324324325,0.009889585532270678,0.6587742742742743,0.01958027516312655,0.6329875269499934,0.01707381463894815,1999.0,0.0
random_autoencoder,mlp,3,0.001,0.0,0.0,0.0,0.10000000000000002,0.0,0.6493886964150581,0.017399657360629248,0.616808404202101,0.024235040547852648,0.6765038849892305,0.010109685146029807,0.449,0.09223882046080162,0.5358310173170748,0.0699447412931057,0.6765038849892305,0.010109685146029807,0.449,0.09223882046080162,0.5358310173170748,0.0699447412931057,0.6038277244231994,0.035706348255131796,0.6168923923923925,0.024202201022264634,0.6927947947947949,0.022700844242678004,0.6626248498053992,0.017483746799464142,1999.0,0.0
trained_autoencoder,linear,3,0.001,0.0,0.0,0.0,,,0.605391594913178,0.006213063610687363,0.6643321660830416,0.004502251125562712,0.7250472070713228,0.0008015653305171354,0.53,0.01552417469626001,0.6122768498691201,0.010123760103893716,0.7250472070713228,0.0008015653305171354,0.53,0.01552417469626001,0.6122768498691201,0.010123760103893716,0.6581489751277769,0.005608114483952216,0.6643993993993994,0.004496746767636964,0.7568168168168169,0.0030842319076934918,0.7341479889948651,0.0027527170205308327,1999.0,0.0
trained_autoencoder,mlp,3,0.0001,0.0,0.0,0.0,0.10000000000000002,0.0,0.5491685568043962,0.007807045041166652,0.7095214273803568,0.0020217368105689662,0.7599705229084606,0.004936783621673274,0.613,0.008185352771872434,0.6785804106469531,0.0038264376378083723,0.7599705229084606,0.004936783621673274,0.613,0.008185352771872434,0.6785804106469531,0.0038264376378083723,0.7067952715160973,0.002170394122052171,0.7095697364030698,0.002020956339984913,0.8035562228895562,0.004831191345056458,0.7820290849057323,0.009667585471420489,1999.0,0.0
trained_autoencoder+esm2,linear,3,0.0003,0.0,0.0,0.0,,,0.5935282445717239,0.004137136742081929,0.688344172086043,0.0018036774764702403,0.7383329445780497,0.002178682784137049,0.584,0.009165151389911688,0.6521228646970586,0.004884850583024675,0.7383329445780497,0.002178682784137049,0.584,0.009165151389911688,0.6521228646970586,0.004884850583024675,0.684919046199964,0.0023179669018059627,0.6883963963963963,0.0017999993765314074,0.7730964297630964,0.0015027906822385503,0.7432273995117787,0.004973351351763104,1999.0,0.0
trained_autoencoder+esm2,mlp,3,0.001,0.0,0.0,0.0,0.10000000000000002,0.0,0.5513624170183519,0.015337438491906354,0.7168584292146073,0.009372183089142196,0.7554740764203899,0.008764175638523724,0.6423333333333333,0.03950105483823609,0.6937332109085294,0.019953317861247842,0.7554740764203899,0.008764175638523724,0.6423333333333333,0.03950105483823609,0.6937332109085294,0.019953317861247842,0.7150804545547524,0.010676353434558175,0.7168957290623957,0.009357921451927324,0.807057891224558,0.0043662286844862504,0.7762557666422198,0.004065427933633569,1999.0,0.0
