epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,0.5766632547108373,0.6756138160632542,0.6607136723488751,0.6652831008529538,0.6589793177361059,0.5056949071757805,0.7385479688850476,0.7335474896114602,0.7323077359842066,0.7360217487678529
2,0.5240311096747919,0.7238227856205385,0.7146310806238882,0.7159138392030906,0.7136565662397205,0.4879408764399691,0.7552578507634687,0.7436864373730909,0.7506860958131156,0.7403679182206733
3,0.5082816361770435,0.7373315407023272,0.7270269349278607,0.7303611443846065,0.7250259641397439,0.4820391117908438,0.7587150677038318,0.7418777173198223,0.7613366898392496,0.736623880549889
4,0.49762149949995715,0.7431255802042319,0.7330724175294753,0.7364484242084166,0.7310208626774173,0.471839746674909,0.7651973494670123,0.755449102976661,0.760088008101508,0.7527666188926527
5,0.49051903609887587,0.7500560197189411,0.7394174035238901,0.744246884991326,0.7367886440301337,0.4690028618557662,0.7667819072313454,0.7558490733348564,0.7629438411724705,0.7523629362970006
6,0.4829364399980186,0.7550977944236371,0.7443349924825089,0.7498466732092841,0.7414416299437354,0.4671906454977901,0.7677902621722846,0.7567332719375185,0.7642087092684113,0.7531302361720257
7,0.4754220831924608,0.7590191747495119,0.7488937354033731,0.7536518492682025,0.7462157810526768,0.4622929431669723,0.7726879861711322,0.7617412275035333,0.7696096614074808,0.7579697338323221
8,0.4704165693014746,0.7644770959377701,0.7543476773824584,0.7596296426865528,0.7514434933388825,0.4615972557444177,0.7686545664073754,0.7577010112927737,0.7650677122086706,0.7541168072508408
9,0.4644874118487905,0.7659976311661705,0.7556987671568881,0.761456796765831,0.7526232034072398,0.4596752953556825,0.7690867185249207,0.7600526813370994,0.7637537736962976,0.7577205096444769
10,0.4605313422127356,0.7688306283811902,0.7589927598066242,0.7641554334548337,0.7560934235478206,0.46063913662450107,0.7715355805243446,0.7584801667024668,0.77109904843419,0.7536990015245301
