epoch,train_loss,train_accuracy,train_positive_precision,train_positive_recall,train_positive_f1,train_precision,train_recall,train_f1,train_macro_f1,train_balanced_accuracy,train_auroc,train_auprc,train_num_samples,val_loss,val_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_precision,val_recall,val_f1,val_macro_f1,val_balanced_accuracy,val_auroc,val_auprc,val_num_samples
1,0.5292785381831205,0.7065527065527065,0.680065131425913,0.5606136145733461,0.6145890266974984,0.680065131425913,0.5606136145733461,0.6145890266974984,0.6888363943091296,0.68585030644883,0.7854411138293709,0.7262068788850742,62478,0.49362691221165744,0.7408527801786229,0.7194244604316546,0.6213324128408698,0.6667901463233932,0.7194244604316546,0.6213324128408698,0.6667901463233932,0.7273844662082494,0.7238924116120296,0.8210860900816795,0.7811090619519917,6942
2,0.48909932774589066,0.7419411632894779,0.7228591902543892,0.6189837008628954,0.6669008119331447,0.7228591902543892,0.6189837008628954,0.6669008119331447,0.7281442781858192,0.7244988553486249,0.8240746207187575,0.7807770856899243,62478,0.48380407005831816,0.7444540478248344,0.7562756732085806,0.5719710044874008,0.6513364779874213,0.7562756732085806,0.5719710044874008,0.6513364779874213,0.724826947497576,0.7199780856800415,0.827971948305075,0.7916550598449903,6942
3,0.46895163958351005,0.7574186113511956,0.7372148598739953,0.6506999041227229,0.6912609492768385,0.7372148598739953,0.6506999041227229,0.6912609492768385,0.7457438324007897,0.7422798754193265,0.8417598246159318,0.8033640288125942,62478,0.47272456679691743,0.7505041774704696,0.7081100392997499,0.6841560234725578,0.6959269662921348,0.7081100392997499,0.6841560234725578,0.6959269662921348,0.7421989496824621,0.7410891365817671,0.8409531534476014,0.8076470462125106,6942
4,0.44770339465688136,0.7728960594129134,0.7537358039450089,0.6770469798657718,0.7133361617875831,0.7537358039450089,0.6770469798657718,0.7133361617875831,0.7626501373747945,0.7592992501724266,0.8590286441102004,0.8259430067110078,62478,0.48339848711043465,0.7523768366464996,0.7396257119609438,0.6275457369692785,0.6789915966386555,0.7396257119609438,0.6275457369692785,0.6789915966386555,0.7387219678585468,0.7346628561236999,0.837938313066712,0.8011376226387218,6942
5,0.4180915140052234,0.7931591920355965,0.774,0.7124065196548418,0.741927109335996,0.774,0.7124065196548418,0.741927109335996,0.7846733074757863,0.7817039053786117,0.8805864614163031,0.8514573570393809,62478,0.5052826406803916,0.7564102564102564,0.7473338802296965,0.6289264756644805,0.6830365510777882,0.7473338802296965,0.6289264756644805,0.6830365510777882,0.7426178193451872,0.7383198509348361,0.8343391761564005,0.7996929131195163,6942
6,0.37571416888317444,0.8202887416370562,0.8013640238704177,0.7570469798657719,0.7785753727222529,0.8013640238704177,0.7570469798657719,0.7785753727222529,0.8136762220792603,0.8113174904273507,0.9067518293997083,0.8834413107671814,62478,0.5632608493237837,0.7481993661768943,0.7291583566015157,0.6309975837072834,0.6765358993338267,0.7291583566015157,0.6309975837072834,0.6765358993338267,0.7352019119310643,0.7315680131144575,0.8314293845600473,0.7921760931540975,6942
