representation,head_type,encoder_mode,freeze_autoencoder,freeze_esm2,num_seeds,learning_rate_mean,learning_rate_std,head_learning_rate_mean,head_learning_rate_std,representation_learning_rate_mean,representation_learning_rate_std,encoder_learning_rate_mean,encoder_learning_rate_std,esm_learning_rate_mean,esm_learning_rate_std,weight_decay_mean,weight_decay_std,dropout_mean,dropout_std,autoencoder_embedding_dropout_mean,autoencoder_embedding_dropout_std,esm_embedding_dropout_mean,esm_embedding_dropout_std,loss_mean,loss_std,accuracy_mean,accuracy_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,positive_f1_mean,positive_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,num_samples_mean,num_samples_std
esm2,linear,fine_tuned,True,False,3,0.0001,0.0,0.0001,0.0,1e-05,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,,,0.0,0.0,0.10000000000000002,0.0,0.5219855979668889,0.020162046818795073,0.7293646823411706,0.017118497881209272,0.7974179939777032,0.025217388660180307,0.6183333333333333,0.07181457605064123,0.6940846228760593,0.03881527264086854,0.7974179939777032,0.025217388660180307,0.6183333333333333,0.07181457605064123,0.6940846228760593,0.03881527264086854,0.7252353559561033,0.02113494522617517,0.7294202535869202,0.01709340123792598,0.8361241241241242,0.0020398858073627482,0.8248096454260757,0.004312379596699855,1999.0,0.0
esm2,mlp,fine_tuned,True,False,3,0.0001,0.0,0.0001,0.0,1e-05,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.10000000000000002,0.0,0.5237513588272732,0.019617296284142126,0.7308654327163581,0.022477880879100506,0.7950584397330696,0.02023208744351473,0.6253333333333333,0.08570492012325388,0.6969577932066727,0.04795309900651154,0.7950584397330696,0.02023208744351473,0.6253333333333333,0.08570492012325388,0.6969577932066727,0.04795309900651154,0.7268423984083746,0.027109949940396574,0.7309182515849182,0.022446235753436065,0.8360894227560894,0.0029249897277740427,0.8260169176765256,0.001647572988899903,1999.0,0.0
random_autoencoder,linear,from_scratch,False,True,3,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.5247418274079559,0.011320561004802757,0.7088544272136068,0.008355824456473294,0.7847602012257481,0.029914306814082463,0.5793333333333334,0.055581771592252506,0.6646293588175176,0.027967520760747953,0.7847602012257481,0.029914306814082463,0.5793333333333334,0.055581771592252506,0.6646293588175176,0.027967520760747953,0.7033291152334105,0.012300144754732447,0.7089192525859193,0.008336017106902132,0.8182632632632633,0.0020046496506430415,0.8152942197249932,0.0009026887051252604,1999.0,0.0
random_autoencoder,mlp,from_scratch,False,True,3,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.5234636830770714,0.0038357379463736657,0.7106886776721694,0.015502373910123681,0.8161204659692354,0.01939787348166179,0.5456666666666666,0.0536314584300421,0.6525891904869594,0.03422311240043436,0.8161204659692354,0.01939787348166179,0.5456666666666666,0.0536314584300421,0.6525891904869594,0.03422311240043436,0.7021341255165727,0.019688100285539807,0.7107712712712712,0.015485137226074136,0.8253253253253252,0.005712875042003723,0.821499950155354,0.007671141842816214,1999.0,0.0
trained_autoencoder,linear,fine_tuned,False,True,2,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,,,0.2,0.0,0.0,0.0,0.5275217211577461,0.022576361655310215,0.7161080540270135,0.015917861507451093,0.796138184684093,0.019133586880918006,0.583,0.06646803743153548,0.6715334793377135,0.03751549722946719,0.796138184684093,0.019133586880918006,0.583,0.06646803743153548,0.6715334793377135,0.03751549722946719,0.7104951134172093,0.02018981001003755,0.7161746746746747,0.01589256111910064,0.8181266266266267,0.011121890743527738,0.8138784820304933,0.0073519519774581515,1999.0,0.0
trained_autoencoder,mlp,fine_tuned,False,True,3,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.5187734385689279,0.006049065469920506,0.7220276805069202,0.002755162855070619,0.8164670238800019,0.006494321061115596,0.5733333333333334,0.014153915830374704,0.6735168343419281,0.007664516783221917,0.8164670238800019,0.006494321061115596,0.5733333333333334,0.014153915830374704,0.6735168343419281,0.007664516783221917,0.7157332590025846,0.0038297326035799176,0.722102102102102,0.002749468739068663,0.8328708708708709,0.005082687339140991,0.8289046061807762,0.0022191158549326657,1999.0,0.0
trained_autoencoder+esm2,linear,fine_tuned,False,False,3,0.0001,0.0,0.0001,0.0,1e-05,0.0,1e-05,0.0,1e-05,0.0,0.0001,0.0,,,0.20000000000000004,0.0,0.10000000000000002,0.0,0.5184565466881912,0.013539963573783283,0.7363681840920461,0.009583413737202569,0.8064318753976658,0.021561490267074497,0.6243333333333333,0.05093459858812414,0.7024249992055464,0.025284947243786764,0.8064318753976658,0.021561490267074497,0.6243333333333333,0.05093459858812414,0.7024249992055464,0.025284947243786764,0.7326408465224986,0.01254196613717771,0.7364242575909242,0.0095627244305535,0.8390647313980647,0.002064200066913134,0.8272003306164867,0.004133522693383547,1999.0,0.0
trained_autoencoder+esm2,mlp,fine_tuned,False,False,3,0.0001,0.0,0.0001,0.0,1e-05,0.0,1e-05,0.0,1e-05,0.0,0.0,0.0,0.10000000000000002,0.0,0.10000000000000002,0.0,0.05000000000000001,0.0,0.5309504718309007,0.01698956620848148,0.7273636818409205,0.01090269870820579,0.7956111680799075,0.02130806702360791,0.6143333333333333,0.0535007788105307,0.6918502545592314,0.0274499143761758,0.7956111680799075,0.02130806702360791,0.6143333333333333,0.0535007788105307,0.6918502545592314,0.0274499143761758,0.7234082170118187,0.013956389491553372,0.7274202535869203,0.010882840602815367,0.8316623289956623,0.000746257043909761,0.8228811248368088,0.00046190119712200494,1999.0,0.0
