dataset,version,representation,head_type,seed,phase,learning_rate,weight_decay,dropout,status,run_dir,checkpoint_dir,error,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v1,esm2,mlp,42,tuning,0.001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-3_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-3_wd_1e-4_do_0.1_seed_42,,16.0,0.630272952853598,0.566303925533454,0.6995102276001153
solubility,v1,esm2,mlp,42,tuning,0.001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-3_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/esm2/lr_1e-3_wd_1e-4_do_0.3_seed_42,,15.0,0.6256106071179344,0.5777859051232378,0.6908671852492078
solubility,v1,random_autoencoder,linear,42,tuning,0.0001,0.0,,failed,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_0_seed_42,"Run artifacts already exist but do not form a validated completed run: Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_0_seed_42, /home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_0_seed_42. Use --resume or --overwrite.",,,,
solubility,v1,random_autoencoder,linear,42,tuning,0.0001,0.0001,,failed,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_seed_42,"Refusing to reuse Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-4_wd_1e-4_seed_42: its saved configuration does not match the requested code, data, checkpoint, preprocessing, or hyperparameters. Use --overwrite to archive it and start a new run.",,,,
solubility,v1,random_autoencoder,linear,42,tuning,0.0003,0.0,,failed,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_0_seed_42,"Run artifacts already exist but do not form a validated completed run: Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_0_seed_42, /home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_0_seed_42. Use --resume or --overwrite.",,,,
solubility,v1,random_autoencoder,linear,42,tuning,0.0003,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_3e-4_wd_1e-4_seed_42,,20.0,0.38220757825370677,0.6567096067793738,0.621866897147796
solubility,v1,random_autoencoder,linear,42,tuning,0.001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-3_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-3_wd_0_seed_42,,15.0,0.5164406464796581,0.6512672372422071,0.6250360126764621
solubility,v1,random_autoencoder,linear,42,tuning,0.001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-3_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/random_autoencoder/lr_1e-3_wd_1e-4_seed_42,,15.0,0.49166343544009306,0.6589433270069475,0.6222990492653414
solubility,v1,random_autoencoder,mlp,42,tuning,0.0001,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_0_do_0.1_seed_42,,16.0,0.5176296843271183,0.6454854081941592,0.6235955056179775
solubility,v1,random_autoencoder,mlp,42,tuning,0.0001,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_0_do_0.3_seed_42,,16.0,0.49913411583605927,0.6457633575318835,0.6250360126764621
solubility,v1,random_autoencoder,mlp,42,tuning,0.0001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.1_seed_42,,16.0,0.518232044198895,0.6496691432991072,0.6231633535004322
solubility,v1,random_autoencoder,mlp,42,tuning,0.0001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-4_wd_1e-4_do_0.3_seed_42,,16.0,0.49653045489591363,0.6489696145504155,0.6237395563238259
solubility,v1,random_autoencoder,mlp,42,tuning,0.0003,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_0_do_0.1_seed_42,,25.0,0.5756518850689254,0.6330771714629236,0.6319504465571881
solubility,v1,random_autoencoder,mlp,42,tuning,0.0003,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_0_do_0.3_seed_42,,21.0,0.5355510875525498,0.6400864410214931,0.6339671564390665
solubility,v1,random_autoencoder,mlp,42,tuning,0.0003,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_1e-4_do_0.1_seed_42,,25.0,0.549792531120332,0.642882729479917,0.6248919619706137
solubility,v1,random_autoencoder,mlp,42,tuning,0.0003,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_3e-4_wd_1e-4_do_0.3_seed_42,,16.0,0.5241979336595977,0.6506707533159368,0.621866897147796
solubility,v1,random_autoencoder,mlp,42,tuning,0.001,0.0,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_0_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_0_do_0.1_seed_42,,29.0,0.59456,0.6366382995107888,0.6349755113800057
solubility,v1,random_autoencoder,mlp,42,tuning,0.001,0.0,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_0_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_0_do_0.3_seed_42,,21.0,0.5696075142569608,0.650052514673138,0.630365888792855
solubility,v1,random_autoencoder,mlp,42,tuning,0.001,0.0001,0.1,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_1e-4_do_0.1_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_1e-4_do_0.1_seed_42,,2.0,0.4856046065259117,0.662694407072647,0.6139441083261308
solubility,v1,random_autoencoder,mlp,42,tuning,0.001,0.0001,0.3,complete,Code/results/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_1e-4_do_0.3_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/mlp/random_autoencoder/lr_1e-3_wd_1e-4_do_0.3_seed_42,,16.0,0.47185095180234915,0.6564760823237453,0.6243157591472198
solubility,v1,trained_autoencoder,linear,42,tuning,0.0001,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-4_wd_0_seed_42,,18.0,0.6058760300967395,0.5791205823747749,0.683088447133391
solubility,v1,trained_autoencoder,linear,42,tuning,0.0001,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_1e-4_wd_1e-4_seed_42,,24.0,0.6055934026532808,0.5784015940919248,0.683088447133391
solubility,v1,trained_autoencoder,linear,42,tuning,0.0003,0.0,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_3e-4_wd_0_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_3e-4_wd_0_seed_42,,18.0,0.6150568181818182,0.5755430906968102,0.6876980697205416
solubility,v1,trained_autoencoder,linear,42,tuning,0.0003,0.0001,,complete,Code/results/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_3e-4_wd_1e-4_seed_42,/home/ubuntu/research/protein-sequence-augmentation/checkpoints/classifier/solubility/v1/tuning/linear/trained_autoencoder/lr_3e-4_wd_1e-4_seed_42,,15.0,0.6136563103387748,0.5775296796264583,0.6829443964275425
