dataset,version,representation,encoder_mode,freeze_autoencoder,freeze_esm2,autoencoder_version,head_type,seed,phase,learning_rate,head_learning_rate,representation_learning_rate,encoder_learning_rate,esm_learning_rate,weight_decay,dropout,autoencoder_embedding_dropout,esm_embedding_dropout,status,run_dir,artifacts_copied,checkpoint_dir,error,sources,source_run_dir,selection_epoch,best_val_f1,val_loss_at_selection,val_accuracy_at_selection
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-6_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/v5/encoder_lr_1e-6/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,8.0,0.7193318253001566,0.47970293366541544,0.7676462114664362
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-6_ae_do_0_esm_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,,source_3,/Users/josh/GWU/research/v5/encoder_lr_1e-6/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,8.0,0.7193165969316597,0.4790658678884157,0.7680783635839815
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_rep_lr_1e-6_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,source_3,/Users/josh/GWU/research/v5/encoder_lr_1e-6/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,8.0,0.7181707950805474,0.47872960606970383,0.7656295015845578
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-06,1e-06,1e-06,0.0001,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_rep_lr_1e-6_ae_do_0_esm_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0.1_seed_42,,source_3,/Users/josh/GWU/research/v5/encoder_lr_1e-6/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0.1_seed_42,8.0,0.7190269331016508,0.4781387271609096,0.7670700086430423
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-5_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/v5/encoder_lr_1e-5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,3.0,0.7253044654939107,0.4629774440677734,0.7660616537021031
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-5_ae_do_0_esm_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,,source_2,/Users/josh/GWU/research/v5/encoder_lr_1e-5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,3.0,0.7259762308998302,0.4626361982463863,0.7675021607605877
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0001,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_rep_lr_1e-5_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,,source_2,/Users/josh/GWU/research/v5/encoder_lr_1e-5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0_seed_42,3.0,0.7232434289640955,0.4593232803903166,0.7679343128781331
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,1e-05,1e-05,1e-05,0.0001,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_rep_lr_1e-5_ae_do_0_esm_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0.1_seed_42,,source_2,/Users/josh/GWU/research/v5/encoder_lr_1e-5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_1e-4_ae_do_0_esm_do_0.1_seed_42,3.0,0.7231833910034602,0.4592762688194699,0.7695188706424662
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.0,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-4_ae_do_0_esm_do_0_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0_seed_42,3.0,0.716087782961811,0.4613987974579964,0.7633246902909824
solubility,v5,esm2,fine_tuned,True,False,,linear,42,end_to_end_tuning,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,,0.0,0.1,complete,Code/results/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_rep_lr_1e-4_ae_do_0_esm_do_0.1_seed_42,True,/home/ubuntu/protein-sequence-augmentation/checkpoints/classifier/solubility/v5/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,,source_1,/Users/josh/GWU/research/v5/encoder_lr_1e-4/unfrozen/tuning/linear/esm2/lr_1e-4_wd_0_ae_do_0_esm_do_0.1_seed_42,3.0,0.7221943468807492,0.4718167770324472,0.7607317775857102
