epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,1.358154868717664,0.527790973871734,0.3072295250958063,0.338372932446651,0.3182393459139652,0.9809664678336545,0.6374955531839203,0.37440953882791206,0.36245319749870986,0.40783802023266436
2,1.0428090322289114,0.632541567695962,0.399237655544195,0.4416941725654138,0.4133771917183403,0.9471742901845243,0.6588402703664177,0.40814659546564575,0.45544563817941286,0.4294022244879023
3,0.9752905384073673,0.6701900237529691,0.44702269586435933,0.44496530910028814,0.45920186018791825,0.8870326565493915,0.688011383849164,0.44400740231491,0.485191660241126,0.46251997584838056
4,0.926041668517766,0.6902612826603325,0.4723981346789155,0.4634398246648403,0.4855718966606214,0.8660190678624944,0.7054429028815368,0.49029745066224467,0.501942611644733,0.49400441214241014
5,0.8864364910453728,0.6977434679334917,0.483457253832457,0.47175426565823947,0.4975874216648976,0.8216496495191347,0.7235859124866596,0.5114275383513842,0.5118994518468544,0.5192995633573577
6,0.8426438074353977,0.7156769596199525,0.5019236619963268,0.5885011325015312,0.5162824474706985,0.8649490055995557,0.7239416577730345,0.5126800179122498,0.5005689700617688,0.5279258892479675
7,0.8223520427009187,0.7242280285035629,0.510190134297639,0.5168668603560589,0.5235388744098626,0.8228505759880963,0.7175382426182854,0.5078744997626454,0.5128944421796192,0.5168153227093782
8,0.7869903099435104,0.7408551068883611,0.5259102960558162,0.5342902884264477,0.5410365528469161,0.7962917427225462,0.7303450729277837,0.5195757783834873,0.5223273302035009,0.5284992629364516
9,0.760118715253003,0.7514251781472684,0.5518817191103007,0.5976470035434229,0.5582095428436464,0.7709267397030172,0.744574884382782,0.5334304220317451,0.5291092588749968,0.5441710995435871
10,0.7240876233526833,0.7668646080760095,0.5743637388498952,0.6225119218301606,0.5774805522369826,0.7854055390926078,0.7463536108146567,0.5816988503613129,0.592576274073266,0.582915419023742
